product_id,title,reason,matched_blacklist,matched_whitelist,action_taken
cj_1997867467846840321,"Baby Girl's Cute Bunny Romper Set, Cap Sleeve Bunny Embroidery Outfit With Headband - Pink Checkered Playsuit",human-product,ring,cat,excluded
cj_2512010701091604500,Women's Thickened Coral Fleece Winter Cute Bunny Pajamas,human-product,pajamas,cat,excluded
cj_2511300219521630800,Baby Girl Bunny Jumpsuit Lazy Zipper Newborn Hooded Pajamas,blacklist-no-whitelist,pajamas,,excluded
cj_1993951085479219202,"Baby Sweet Bunny Romper, Ruffle Trim Onesie With Adjustable Straps & Snap Closure",human-product,ring,cat,excluded
cj_1993148737105870849,"Baby Girl Comforable Bunny Romper Set, Bubble Sleeve Onesie With Bow Rabbit Embroidery",human-product,ring,cat,excluded
cj_1988910090106454017,Bunny Suction Cup Hook-random,blacklist-no-whitelist,cup,,excluded
cj_2510150328061622900,Christmas Costume Cute Bunny Nightclub,blacklist-no-whitelist,ring,,excluded
cj_2510140532031638600,New Style Cute Bunny Suit Halloween Costume,blacklist-no-whitelist,dress,,excluded
cj_2510010822381622900,Summer New Suit Baby Girl Cute Three-dimensional Bunny,human-product,clothing,rabbit,excluded
cj_2509200207411614100,Bunny Radish Mori Style Couple Girlfriends Bracelet For Women,human-product,bracelet,cat,excluded
cj_2509090714261609500,New Open One-piece Bunny Uniform Suit,blacklist-no-whitelist,computer,,excluded
cj_2509090638191622500,Pure Bunny Girl Cute Uniform Female,blacklist-no-whitelist,ring,,excluded
cj_1758813520130486272,Copper Edging Geometric Multicolor K9 Glass Crystal Pendant Earrings,blacklist-no-whitelist,glass,,excluded
cj_1602565250526752768,Generation Of Stainless Steel K9 Crystal Chandelier,blacklist-no-whitelist,meter,,excluded
cj_2511050708411627700,Kitty Open Ring For Women,human-product,ring,kitty,excluded
cj_2507161131331623800,Alloy Kitty Brooch Men's Cute Japanese Style Women's Trendy Cool Personality Ins Couple Badge,human-product,decoration,cat,excluded
cj_2507150516211625700,Fashionable And Creative Little Girl Hug Kitty Necklace,human-product,necklace,cat,excluded
cj_2505100111081607500,Women's Fashionable Simple And Cute Kitty Pearl Zircon Ring,human-product,ring,cat,excluded
cj_2501160826221620700,Crescent Kitty Tassel Stud Earrings Simple Women's,human-product,earring,kitty,excluded
cj_2409020845541611600,Tuan Meow Pendant Squeezing Toy Creak Keychain Rag Doll,blacklist-no-whitelist,pendant,,excluded
cj_1702494930431647744,Sterling Silver Necklace Love Moon Star Meow Women's,blacklist-no-whitelist,necklace,,excluded
cj_1405358188169138176,Meow Planet Cloud Moon Asymmetric Face-lift Silver Needle Stud Earrings,blacklist-no-whitelist,earring,,excluded
