product_id,variant_id,handle,title,description,price,compare_at_price,cost,sku,cj_product_id,cj_variant_id,category_primary,category_secondary,pet_type,collection,image_urls,status
1996064726721794050,,stylish-and-spacious-foldable-soft-pet-carrier-for-dogs-and-cats,Stylish And Spacious Foldable Soft Pet Carrier For Dogs And Cats,,9.95,45.5,,,,,travel,accessories,dog,dogs,/media/products/1996064726721794050/0_807e43267b88.jpg|/media/products/1996064726721794050/1_56c44d6a135d.jpg|/media/products/1996064726721794050/2_ef2797b6f3ef.jpg|/media/products/1996064726721794050/3_ea9e56c3a774.jpg|/media/products/1996064726721794050/4_21e2b283767e.jpg|/media/products/1996064726721794050/5_96689fef3700.jpg|/media/products/1996064726721794050/6_ccc43630ec62.jpg|/media/products/1996064726721794050/7_5beffde8c301.jpg,active
1996111912750710786,,dog-bed-warm-plush-pet-bed-with-removable-washable-cover-versatile-dog-mat-for-i,"Dog Bed - Warm Plush Pet Bed With Removable Washable Cover, Versatile Dog Mat For Indoor Outdoor Use",,9.95,46.79,,,,,beds,accessories,dog,dogs,/media/products/1996111912750710786/0_a2399e5892cf.jpg|/media/products/1996111912750710786/1_4c1277913863.jpg|/media/products/1996111912750710786/2_9f5eae85aed5.jpg|/media/products/1996111912750710786/3_6f7ef94bdd40.jpg|/media/products/1996111912750710786/4_b1152aad24bb.jpg|/media/products/1996111912750710786/5_5834a8d3ad16.jpg|/media/products/1996111912750710786/6_f0938abff48d.jpg|/media/products/1996111912750710786/7_26cf97728b1f.jpg,active
1996100265990180865,,outdoor-cat-play-tent-with-tunnel-portable-cat-playhouse-for-indoor-outdoor-cat-,"Outdoor Cat Play Tent With Tunnel, Portable Cat Playhouse For Indoor Outdoor, Cat Playpen Enclosed F",,9.95,59.83,,,,,accessories,accessories,cat,cats,/media/products/1996100265990180865/0_4f38c1693e63.jpg|/media/products/1996100265990180865/1_1cbb38218d1c.jpg|/media/products/1996100265990180865/2_72fa15b0674f.jpg|/media/products/1996100265990180865/3_86a53064a2ed.jpg|/media/products/1996100265990180865/4_768147c1b4c3.jpg|/media/products/1996100265990180865/5_74fe33acf311.jpg|/media/products/1996100265990180865/6_6b2afc371c55.jpg|/media/products/1996100265990180865/7_fa6377085f6f.jpg,active
1993916062320009218,,gardner-small-dog-outdoor-waterproof-portable-breathable-mesh-pet-bed-with-three,Gardner Small Dog Outdoor Waterproof Portable Breathable Mesh Pet Bed With Three-Sided Guardrail Sel,,9.95,31.1,,,,,beds,accessories,dog,dogs,/media/products/1993916062320009218/0_4863364b85fb.png|/media/products/1993916062320009218/1_4bd997045157.png|/media/products/1993916062320009218/2_b83c3fcd004d.png|/media/products/1993916062320009218/3_7ed3153d40d6.png|/media/products/1993916062320009218/4_ba8385d50d88.png|/media/products/1993916062320009218/5_74f3ff47ac3f.png|/media/products/1993916062320009218/6_4ea7258ec7b5.png|/media/products/1993916062320009218/7_9e28e847b158.png,active
1993885211980353537,,pet-tear-stain-removal-powder-natural-and-gentle-formula-eye-and-fur-care-tear-s,"Pet Tear Stain Removal Powder - Natural And Gentle Formula, Eye And Fur Care, Tear Stain Removal And",,9.95,13.79,,,,,health,accessories,dog,dogs,/media/products/1993885211980353537/0_a6c4151ed4e1.png|/media/products/1993885211980353537/1_9007a8b0658c.png|/media/products/1993885211980353537/2_045e087f3440.png|/media/products/1993885211980353537/3_125b315912ec.png|/media/products/1993885211980353537/4_2489d6e9525f.png|/media/products/1993885211980353537/5_2b9b6ffd78d2.png|/media/products/1993885211980353537/6_6bc9aa45cb68.png|/media/products/1993885211980353537/7_9b540693d6ce.png,active
1993882260050169858,,pet-dental-powder-freshens-breath-protects-gums-and-strengthens-teeth-an-essenti,"Pet Dental Powder - Freshens Breath, Protects Gums And Strengthens Teeth. An Essential For Daily Ora",,9.95,13.79,,,,,accessories,accessories,dog,dogs,/media/products/1993882260050169858/0_3e87f764e444.png|/media/products/1993882260050169858/1_58429bda2d9c.png|/media/products/1993882260050169858/2_c9c798911051.png|/media/products/1993882260050169858/3_fe2e9ad554e1.png|/media/products/1993882260050169858/4_3b1b9bb7daa4.png|/media/products/1993882260050169858/5_8cd3ffc26e30.png|/media/products/1993882260050169858/6_00611d4e2636.png|/media/products/1993882260050169858/7_c00d64c1a0ff.png,active
1993155042347737090,,2-in-1-pet-grooming-gloves-brushes-for-cats-and-dogs-high-efficiency-hair-remova,2-in-1 Pet Grooming Gloves & Brushes For Cats And Dogs High-Efficiency Hair Removal & Massage Gloves,,9.95,11.49,,,,,grooming,accessories,dog,dogs,/media/products/1993155042347737090/0_6dad70552797.png|/media/products/1993155042347737090/1_5b9d36ade529.png|/media/products/1993155042347737090/2_c6c5de51427b.png|/media/products/1993155042347737090/3_cd7cd3370b9e.png|/media/products/1993155042347737090/4_9c335981a29d.png|/media/products/1993155042347737090/5_602da6d78606.png|/media/products/1993155042347737090/6_64275f49f83f.png|/media/products/1993155042347737090/7_489df97db4ea.png,active
1993006928471289857,,pet-stroller-4-wheels-dog-stroller-carrier-160lbs-weight-capacity-portable,Pet Stroller 4-Wheels Dog Stroller Carrier 160lbs Weight Capacity Portable,,9.95,143.4,,,,,travel,accessories,dog,dogs,/media/products/1993006928471289857/0_d55ac741e38d.jpg|/media/products/1993006928471289857/1_3f3eb0cab0f3.jpg|/media/products/1993006928471289857/2_17da58a8582e.jpg|/media/products/1993006928471289857/3_3dc0808b5b56.jpg|/media/products/1993006928471289857/4_0c98825137d5.jpg|/media/products/1993006928471289857/5_36e11475be05.jpg,active
1993039311227625473,,wood-pet-stairspet-steps-2-in-1-foldable-wooden-dog-stair-for-beds-sofa-and-cars,"Wood Pet Stairs/Pet Steps, 2-in-1 Foldable Wooden Dog Stair For Beds, Sofa And Cars, Dog Stairs & Ra",,9.95,64.47,,,,,beds,accessories,dog,dogs,/media/products/1993039311227625473/0_adf8d8af1675.jpg|/media/products/1993039311227625473/1_1ca5a2978805.jpg|/media/products/1993039311227625473/2_2c1423057aa0.jpg|/media/products/1993039311227625473/3_88cb2a9c49fd.jpg|/media/products/1993039311227625473/4_af3e44a1d1d8.jpg|/media/products/1993039311227625473/5_f573cadf70a0.jpg,active
1993007032305479682,,pet-stroller-foldable-4-wheels-travel-dog-stroller-reversible-handle-up-to-44lbs,Pet Stroller Foldable 4 Wheels Travel Dog Stroller Reversible Handle Up To 44lbs,,9.95,91.98,,,,,travel,accessories,dog,dogs,/media/products/1993007032305479682/0_58771ca26a15.jpg|/media/products/1993007032305479682/1_3f4d245ab420.jpg|/media/products/1993007032305479682/2_ef0bd50a74f2.jpg|/media/products/1993007032305479682/3_cc56ae39eb25.jpg|/media/products/1993007032305479682/4_3ecf7fc1b072.jpg|/media/products/1993007032305479682/5_9606ba005381.jpg,active
1993006996016361474,,pet-stroller-foldable-4-wheels-dog-stroller-detachable-carrier-up-to-35lbs,Pet Stroller Foldable 4 Wheels Dog Stroller Detachable Carrier Up To 35lbs,,9.95,69.36,,,,,travel,accessories,dog,dogs,/media/products/1993006996016361474/0_da8de99f5521.jpg|/media/products/1993006996016361474/1_8abd7f1e77e9.jpg|/media/products/1993006996016361474/2_c1cd04f75013.jpg|/media/products/1993006996016361474/3_d37d79319113.jpg|/media/products/1993006996016361474/4_ad24c9c623c6.jpg|/media/products/1993006996016361474/5_eeb4a32aff71.jpg,active
1992955820617003009,,elevated-lounge-pet-bed-foldable-bunk-dog-bed-with-wheels-side-bags-l,Elevated Lounge Pet Bed Foldable Bunk Dog Bed With Wheels & Side Bags L,,9.95,92.08,,,,,beds,accessories,dog,dogs,/media/products/1992955820617003009/0_8a1fbdf8a2d0.jpg|/media/products/1992955820617003009/1_09c936d11ad6.jpg|/media/products/1992955820617003009/2_c296ba6a3d70.jpg|/media/products/1992955820617003009/3_e094b8810445.jpg|/media/products/1992955820617003009/4_2fafc5f4077c.jpg|/media/products/1992955820617003009/5_9f9305a78ceb.jpg,active
1993007067604742145,,pet-stroller-4-wheels-dog-stroller-rotate-with-brakes-66-lbs-weight-capacity-pup,"Pet Stroller, 4 Wheels Dog Stroller Rotate With Brakes, 66 Lbs Weight Capacity, Puppy Stroller With ",,9.95,151.78,,,,,accessories,accessories,dog,dogs,/media/products/1993007067604742145/0_6de5e4aa80c5.jpg|/media/products/1993007067604742145/1_56b8122ef44e.jpg|/media/products/1993007067604742145/2_69bac7eab6fc.jpg|/media/products/1993007067604742145/3_2d0cc669a65a.jpg|/media/products/1993007067604742145/4_c52b4d0b089a.jpg|/media/products/1993007067604742145/5_570b7a3ddaec.jpg,active
1993006962566787073,,pet-stroller-foldable-3-wheels-dog-stroller-with-brake-up-to-35lbs-travel-camp,Pet Stroller Foldable 3 Wheels Dog Stroller With Brake Up To 35lbs Travel Camp,,9.95,66.86,,,,,travel,accessories,dog,dogs,/media/products/1993006962566787073/0_c31b88c5e3f5.jpg|/media/products/1993006962566787073/1_c965053c61ee.jpg|/media/products/1993006962566787073/2_c55975877592.jpg|/media/products/1993006962566787073/3_11657c8ba77c.jpg|/media/products/1993006962566787073/4_0d290037a638.jpg|/media/products/1993006962566787073/5_27f465690d5c.jpg,active
1992488017443860482,,cat-walking-rope-vest-style-dog-cartoon-animal-wool-grain-leash-autumn-and-winte,"Cat Walking Rope, Vest Style Dog Cartoon Animal Wool Grain Leash, Autumn And Winter Pet Cat Leash",,9.95,3.63,,,,,accessories,accessories,dog,dogs,/media/products/1992488017443860482/0_ca8443cd0800.jpg|/media/products/1992488017443860482/1_d1598fb2e525.jpg|/media/products/1992488017443860482/2_c796b0d6868f.png|/media/products/1992488017443860482/3_666e9f1acd7d.jpg|/media/products/1992488017443860482/4_513be852bc7f.png|/media/products/1992488017443860482/5_f7865df185f0.png|/media/products/1992488017443860482/6_7b7457a09e47.jpg|/media/products/1992488017443860482/7_af950775d19d.jpg,active
1992473230051815426,,dog-toys-sound-sounding-food-hiding-educational-self-entertaining-and-stress-rel,"Dog Toys, Sound-sounding, Food-hiding, Educational, Self-entertaining And Stress-relieving Gadgets F",,9.95,4.25,,,,,toys,accessories,dog,dogs,/media/products/1992473230051815426/0_a744d73878d0.png|/media/products/1992473230051815426/1_803e72c17094.jpg|/media/products/1992473230051815426/2_a20394616438.png|/media/products/1992473230051815426/3_8a029eb7a557.png|/media/products/1992473230051815426/4_b70993367f4a.png|/media/products/1992473230051815426/5_a317b1a4146b.jpg|/media/products/1992473230051815426/6_93efa8cbd650.jpg|/media/products/1992473230051815426/7_bb3cde558080.png,active
1992483683275927554,,pet-colorful-teething-toy-balls-teething-and-cleaning-teeth-durable-rubber-elast,"Pet Colorful Teething Toy Balls, Teething And Cleaning Teeth, Durable Rubber Elastic Dog Toys, Energ",,9.95,2.98,,,,,toys,accessories,dog,dogs,/media/products/1992483683275927554/0_6f19890cab8e.png|/media/products/1992483683275927554/1_505e526b2113.png|/media/products/1992483683275927554/2_88bb13e9c961.png|/media/products/1992483683275927554/3_a14359995710.png|/media/products/1992483683275927554/4_69f24b974103.jpg|/media/products/1992483683275927554/5_7c27eca9a753.png|/media/products/1992483683275927554/6_07bff9dbb32d.png|/media/products/1992483683275927554/7_251b3943f6a0.png,active
1991786961910530050,,pet-stroller-for-dogs-and-cats-foldable-lightweight-and-durable-ideal-for-small-,"Pet Stroller For Dogs And Cats - Foldable, Lightweight, And Durable - Ideal For Small To Medium Pets",,9.95,53.09,,,,,accessories,accessories,dog,dogs,/media/products/1991786961910530050/0_23dff235d8e3.png,active
1991750114320744449,,cross-border-dog-bowl-double-ear-handle-silicone-slow-food-bowl-dog-pet-small-do,"Cross-border Dog Bowl, Double-ear Handle Silicone Slow Food Bowl, Dog Pet Small Dog Slow Food Mat, A",,9.95,6.67,,,,,feeding,accessories,dog,dogs,/media/products/1991750114320744449/0_d84ac205ec51.png|/media/products/1991750114320744449/1_85e16b1af5ca.png|/media/products/1991750114320744449/2_34d4d81e2094.png|/media/products/1991750114320744449/3_e7a7d921b724.png|/media/products/1991750114320744449/4_f39651243fa4.png|/media/products/1991750114320744449/5_2a6095fa7ebf.png|/media/products/1991750114320744449/6_e2f680b47b17.png|/media/products/1991750114320744449/7_ddb69984b5bb.png,active
1991773771676569602,,pet-playpen-small-animal-cage-indoor-portable-metal-wire-yard-fence-for-small-an,"Pet Playpen, Small Animal Cage Indoor Portable Metal Wire Yard Fence For Small Animals, Guinea Pigs,",,9.95,25.74,,,,,travel,accessories,small_pet,small-pets,/media/products/1991773771676569602/0_aa92cd69d742.jpg|/media/products/1991773771676569602/1_c8d19a5b2a4e.jpg|/media/products/1991773771676569602/2_d83ff8eda002.jpg|/media/products/1991773771676569602/3_48e36e239cd3.jpg|/media/products/1991773771676569602/4_3a362f252bd9.jpg|/media/products/1991773771676569602/5_3589058b7731.jpg|/media/products/1991773771676569602/6_6b6fbde17c0b.jpg|/media/products/1991773771676569602/7_00a2dd352cd4.jpg,active
1991244926845751298,,2-in-1-pet-bike-trailer-for-small-dogs,2-in-1 Pet Bike Trailer for Small Dogs,,9.95,152.48,,,,,accessories,accessories,dog,dogs,/media/products/1991244926845751298/0_0e3c3f4ac44e.jpg,active
1991249014612287489,,pet-feeding-station-pet-dish-bowl-set-with-storage,Pet Feeding Station Pet Dish Bowl Set with Storage,,9.95,75.13,,,,,feeding,accessories,dog,dogs,/media/products/1991249014612287489/0_4c6ca7da7627.jpg,active
