product_id,slug,title,category_slug,pet_type,subcategory,variant_id,variant_sku,variant_title,cost,price,old_price,suggested_price,multiplier,rounding_rule,active,cj_product_url,image_url,exclude_reason,pet_type_inferred,category_slug_inferred
1994702521858703361,472-mobile-dog-crate-with-flip-top-feeding-door-dual-access-5-caster-system-2-lo,"47.2 Mobile Dog Crate With Flip-Top Feeding Door, Dual-Access & 5 Caster System 2 Locking, Side Hook",dogs,dog,accessories,,,,0.0,183.07,237.99,0.0,0.0,,True,https://cjdropshipping.com/product/1994702521858703361,/media/products/1994702521858703361/0_38211ae821f5.jpg,non-pet category keyword,dog,dogs
1992920358406504450,ceramic-cat-water-fountain-21l71oz-cupcake-pet-fountain-for-cats-dogs,Ceramic Cat Water Fountain 2.1L/71oz Cupcake Pet Fountain For Cats & Dogs,cats,cat,accessories,,,,0.0,33.11,43.04,0.0,0.0,,True,https://cjdropshipping.com/product/1992920358406504450,/media/products/1992920358406504450/0_266ef9e00dbd.jpg,non-pet category keyword,cat,cats
1990702967379513345,cat-litter-with-baby-powder-scent-bentonite-20l,Cat Litter with Baby Powder Scent Bentonite 20L,cats,cat,accessories,,,,0.0,33.42,43.45,0.0,0.0,,True,https://cjdropshipping.com/product/1990702967379513345,/media/products/1990702967379513345/0_6bf560ea5611.jpg,non-pet category keyword,cat,cats
1561725514673967104,pets-dog-cat-baby-safety-gate-mesh-fence-magic-portable-guard-net-stairs-doors,Pets Dog Cat Baby Safety Gate Mesh Fence Magic Portable Guard Net Stairs Doors,dogs,dog,accessories,,,,0.0,13.78,17.91,0.0,0.0,,True,https://cjdropshipping.com/product/1561725514673967104,/media/products/1561725514673967104/0_9ff278c51619.jpg,non-pet category keyword,dog,dogs
cj_2512230646521605900,womens-warm-retro-rabbit-wool-socks,Womens Warm Retro Rabbit Wool Socks,small-pets,small_pet,,2512230646521606100,CJWZ267557701AZ,,2.19,8.66,0.0,7.99,3.0,.99,True,https://cjdropshipping.com/product/cj_2512230646521605900,https://cf.cjdropshipping.com/quick/product/f5fcc964-e5d2-42fc-a297-031576d79849.jpg,non-pet category keyword,small_pet,small-pets
cj_2512250744511637700,womens-dog-paw-print-heart-necklace,Womens Dog Paw Print Heart Necklace,dogs,dog,,2512250744511637900,CJLX268961501AZ,,0.4,2.39,0.0,5.99,3.0,.99,True,https://cjdropshipping.com/product/cj_2512250744511637700,https://cf.cjdropshipping.com/quick/product/7c6b7573-d1ba-4e43-b815-a3db513a61fa.jpg,non-pet category keyword,dog,dogs
cj_2003169781470900226,pawhut-7-panels-playpen-with-3-doors-for-baby-dogs-two-room-design-puppy-whelpin,"PawHut 7 Panels Playpen With 3 Doors For Baby Dogs, Two-Room Design Puppy Whelping Box - White",dogs,dog,,2003169781588340737,CJCJ26702760001,,146.28,264.29,0.0,260.0,1.8,.00 (nearest 10),True,https://cjdropshipping.com/product/cj_2003169781470900226,https://cf.cjdropshipping.com/17663616/14ef3d7d-766c-44eb-8b9a-718e4327ace5.jpg,non-pet category keyword,dog,dogs
cj_2512260147411617500,furry-cat-ears-headband-for-women,Furry Cat Ears Headband For Women,cats,cat,,2512260147411617700,CJYD269344201AZ,,0.62,3.16,0.0,5.99,3.0,.99,True,https://cjdropshipping.com/product/cj_2512260147411617500,https://cf.cjdropshipping.com/quick/product/da6b4e18-a16d-4ae0-9468-7345b9e1e0a6.jpg,non-pet category keyword,cat,cats
cj_2512260147411617500,furry-cat-ears-headband-for-women,Furry Cat Ears Headband For Women,cats,cat,,2512260147411617900,CJYD269344202BY,,0.62,3.16,0.0,5.99,3.0,.99,True,https://cjdropshipping.com/product/cj_2512260147411617500,https://cf.cjdropshipping.com/quick/product/da6b4e18-a16d-4ae0-9468-7345b9e1e0a6.jpg,non-pet category keyword,cat,cats
cj_2004115546826235905,3d-wooden-puzzles-cat-model-kit-night-lights-desk-decorations-birthday-christmas,3D Wooden Puzzles Cat Model Kit Night Lights Desk Decorations Birthday Christmas Gifts For Women Age14+,cats,cat,,2004115546977230850,CJYZ26904920001,,17.88,45.69,0.0,44.99,2.5,.99,True,https://cjdropshipping.com/product/cj_2004115546826235905,https://cf.cjdropshipping.com/17666208/4e799e22-bbc6-4518-82bd-9b56851e2b06.jpg,non-pet category keyword,cat,cats
